Code,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31
300280.SZ,0.0000,"3,530.5282","3,124.3991","3,117.8971","2,949.1258","3,646.5153","2,527.0985","2,118.5056","2,087.1696","2,253.0928","2,194.1734","2,166.5613","2,172.2793","1,151.2250","1,069.6660",887.1645,827.9152,805.9459,824.3072,844.0602,845.9451,803.0588,809.9876,801.9717,809.9324,800.3530,787.4903,732.5714,737.6703,737.5649,737.5794,734.3236,726.1631,750.4274,739.7731,783.8447,792.7564,766.5659,818.8892,499.6204,466.1683,0.0000,422.8738,0.0000,0.0000,0.0000,289.6076,0.0000,0.0000,0.0000
300343.SZ,0.0000,"2,035.8901","2,173.7431","2,727.5326","3,014.2691","3,267.7085","3,286.6545","5,007.2435","4,805.1351","5,076.7894","4,051.6496","6,093.8475","5,965.3915","5,921.5970","6,069.1023","5,098.8132","4,841.1931","4,863.6034","5,055.6278","4,936.3495","4,835.9401","4,615.9710","2,477.3369","2,520.6508","2,608.0427",922.4990,913.2920,962.4519,900.7476,850.2575,693.3900,588.9226,561.8445,569.5435,519.2499,524.3392,245.5170,0.0000,224.2840,215.5434,0.0000,0.0000,186.4461,0.0000,0.0000,0.0000,63.0652,0.0000,0.0000,0.0000
300392.SZ,0.0000,"1,692.5021","1,650.5321","1,477.1834","1,531.2447","1,623.2206","1,605.3696","1,487.9461","1,391.5004","1,480.3761","1,335.6353","1,733.9303","1,608.6495","1,473.6903","1,567.2075","1,504.3013","1,442.0662","1,405.4029","1,436.2828","1,679.6784","1,503.2578","1,355.8823","1,466.6051","1,264.8649","1,133.2803",935.7779,962.4064,893.8360,540.9848,534.6002,511.0422,0.0000,0.0000,0.0000,401.3041,0.0000,0.0000,0.0000,336.3331,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
300612.SZ,0.0000,830.7207,854.0213,654.9205,602.2796,561.7078,610.3354,491.7307,478.3964,460.5893,500.5058,571.3201,575.1026,608.8349,618.6226,533.2779,527.2025,541.9716,317.5104,251.2047,248.7035,0.0000,241.6260,0.0000,0.0000,0.0000,181.7122,0.0000,0.0000,0.0000,178.3282,0.0000,0.0000,0.0000,168.0055,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
300766.SZ,0.0000,"1,962.2032","2,063.1336","1,899.0684","1,862.6504","1,806.6701","1,812.5093","1,771.7002","1,743.4942","1,736.1371","1,222.2417",0.0000,0.0000,0.0000,940.1432,0.0000,790.8841,0.0000,761.1921,0.0000,0.0000,0.0000,542.9557,0.0000,0.0000,0.0000,44.7989,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
300781.SZ,0.0000,877.4455,832.1415,680.4289,691.8452,704.6612,708.6264,729.3454,714.8545,382.5883,411.2893,0.0000,0.0000,0.0000,358.5796,0.0000,272.4697,0.0000,293.3320,253.2273,0.0000,0.0000,139.8746,0.0000,0.0000,0.0000,119.8109,0.0000,0.0000,0.0000,59.3777,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
300805.SZ,0.0000,"2,423.1358","2,571.4834","2,415.9732","2,239.2832","2,204.4726","2,446.4434","1,723.0719","1,577.8858",0.0000,"1,598.1145",0.0000,0.0000,0.0000,"1,299.6744",0.0000,0.0000,0.0000,961.0588,0.0000,0.0000,0.0000,829.3793,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
300987.SZ,0.0000,661.2029,663.4033,0.0000,619.8458,0.0000,613.6602,0.0000,0.0000,0.0000,578.5018,0.0000,0.0000,0.0000,520.3444,0.0000,0.0000,0.0000,465.1925,0.0000,0.0000,456.0794,433.5706,0.0000,0.0000,0.0000,360.1577,324.9122,0.0000,0.0000,289.4779,0.0000,0.0000,0.0000,227.2605,0.0000,0.0000,0.0000,73.9654,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
600088.SH,0.0000,"1,441.7252","1,572.6785","1,420.5595","1,448.1104","1,525.8861","1,632.3509","1,550.5378","1,519.1924","1,542.2306","1,584.2662","1,508.4869","1,439.0214","1,414.4074","1,409.6992","1,390.8465","1,397.6124","1,353.9777","1,360.4187","1,399.0481","1,397.8279","1,406.3298","1,470.9050","1,444.3797","1,428.3690","1,431.9566","1,508.2309","1,463.6083","1,433.9094","1,462.8550","1,536.3360","1,618.1406","1,680.8703","1,698.4907","1,859.4984","1,706.8214","1,670.1511","2,171.0583","2,319.6239","2,123.9893","1,964.3319","1,841.8129","1,719.9516","1,600.7718","1,459.3549","1,468.3685","1,441.6459","1,835.1866","1,713.7416","1,718.4329"
600242.SH,0.0000,"1,555.3393","1,482.1987","1,684.6334","1,540.6162","1,571.0792","1,661.2364","3,683.5433","3,743.0051","3,857.2288","3,730.4915","4,224.1797","3,177.8949","3,113.8838","3,086.7523","2,838.2183","1,986.7066","2,121.7532","2,133.2904","3,336.5793","1,783.7194","1,733.1693","1,713.6422","1,718.2240","2,135.2672","2,110.8839","2,143.5115","2,300.4857","2,483.4789","2,463.9378","2,424.0254","2,483.9009","2,521.8792","2,557.6239","2,481.2700","2,236.6380","2,005.6849","2,068.0973","2,028.2838","1,505.7252","1,357.5069","1,308.1729","1,252.4044","1,125.1823",138.4524,134.3590,135.5059,135.9731,132.3314,144.4581
