Code,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31
002056.SZ,0,1.4307,5.0801,3.6207,2.1293,0.9659,4.9032,3.6159,2.3219,1.1248,5.7565,4.1267,2.9504,1.3599,7.3698,5.5708,3.9180,1.8122,7.3572,5.4204,3.6153,1.7174,6.3774,4.3805,2.7821,1.4180,5.8794,4.1760,2.6306,1.2683,5.5037,3.8621,2.4912,1.1419,4.8859,3.4414,2.3068,1.1052,6.0099,4.5325,3.3899,1.8933,7.0046,4.6493,2.7000,1.2192
002189.SZ,0,1.0269,4.5685,2.9562,1.9473,0.6021,3.1936,1.9677,1.3171,0.6836,4.4734,2.8960,1.8237,0.8812,3.6707,2.6086,1.7575,0.8221,3.6578,2.5922,1.7388,0.9173,3.9497,2.6768,1.8066,0.8929,3.4997,2.3612,1.5275,0.7353,3.2900,2.1624,1.4335,0.7429,3.7001,2.8717,1.8535,0.8864,3.8868,2.6505,1.6728,0.7992,3.6126,2.5857,1.6650,0.7200
002217.SZ,0,0.6105,2.2962,1.5544,0.9801,0.3793,2.2716,1.4662,0.9218,0.4323,2.7888,0,1.5943,0.7333,4.1345,2.7409,1.7814,0.7720,5.1661,3.3656,2.5448,0.9914,4.5645,2.7346,2.4407,1.2577,10.2478,5.1835,4.1740,1.2149,39.1026,25.0551,17.2686,8.9210,46.8350,29.0360,22.9300,7.1344,63.0172,37.9822,26.7461,9.1051,57.8360,29.9844,18.3400,6.7372
002222.SZ,0,1.0033,3.9626,2.8101,1.7361,0.8070,3.6811,2.7817,1.7545,0.8544,4.1737,3.2638,2.2272,1.1713,5.7727,4.2589,2.9202,1.5616,6.3677,4.4265,3.0488,1.5391,5.3509,3.9543,2.5283,1.2552,5.0782,3.4567,2.3345,1.0552,4.3941,3.1580,2.1203,1.0151,4.5974,3.2540,2.1207,1.0272,5.2889,3.7265,2.6149,1.2356,6.3090,4.1872,2.6592,1.4685
002241.SZ,0,1.5434,6.3961,3.6343,2.2474,0.9988,4.5957,3.1336,1.9825,0.8828,3.5232,2.3131,1.6408,0.8291,4.3673,3.0152,1.9893,0.9074,4.2162,2.5655,1.7265,0.7715,3.4580,2.1478,1.5083,0.6880,3.2115,2.1897,1.4697,0.6515,3.3930,2.4175,1.7137,0.8477,4.4764,3.0720,2.0602,0.9308,5.0046,3.3320,2.3428,1.1009,6.2083,3.9524,2.5511,1.2417
002273.SZ,0,1.0747,3.9706,3.1733,2.0968,0.9243,4.6353,3.1204,1.9548,0.9701,4.3266,2.8455,1.7544,0.8126,4.4019,3.4259,2.2048,1.0648,4.0272,2.9326,1.8392,0.8902,3.5832,2.5947,1.7062,0.8186,4.5360,3.2546,2.0261,1.0321,4.6820,3.2395,2.1756,1.0952,6.1294,3.8601,2.5553,1.2035,5.2740,3.4902,2.2031,1.1181,4.8859,3.7965,2.3186,1.1346
002289.SZ,0,0.9588,4.0400,2.8202,1.8614,0.7503,3.6870,2.3341,1.4458,0.6854,4.3530,3.1283,2.0709,1.0165,2.8182,2.1757,1.4162,0.4952,2.0778,1.3158,0.8844,0.3860,3.6868,1.6343,1.6619,0.7214,4.4203,4.3014,2.5360,1.2560,3.5687,3.1074,2.0787,1.0715,3.4124,2.8061,1.7856,0.9180,4.4625,3.3366,2.4246,1.2214,5.6913,4.1420,2.8085,1.1840
002351.SZ,0,2.4424,9.8913,6.5821,4.0290,1.8412,9.2429,7.3408,4.2774,2.5822,10.1453,7.4744,6.3086,2.8176,11.8990,9.6343,6.1523,3.2170,14.1827,12.4255,8.7928,4.4571,21.6596,13.1619,11.7907,6.3286,27.4646,19.7308,14.5145,7.8358,24.8855,15.8970,11.9332,5.6514,20.8755,16.2910,10.0825,4.9105,23.5378,16.8328,10.1784,6.4782,26.4997,20.7779,16.2448,9.1050
002369.SZ,0,1.0473,3.6447,2.5632,1.6415,0.7886,3.9919,3.2527,2.0298,1.0942,6.3536,4.7805,3.1776,2.1674,6.8627,3.9878,3.0364,1.1799,4.8216,4.1016,2.8975,1.1482,6.8207,6.1250,4.6631,1.9217,8.9185,6.7524,5.0794,2.4492,7.5583,5.2112,3.1830,1.4273,5.0571,2.9056,1.9636,0.8348,3.8691,2.9505,1.8958,0.8997,3.7377,2.9541,1.8813,0.9965
002402.SZ,0,1.2062,5.2275,3.3971,2.1383,1.0302,4.6434,3.1683,1.9284,0.9836,4.0052,2.8876,1.8888,1.0009,4.4241,3.1859,2.1795,1.1267,3.9066,2.8353,1.7864,0.8587,3.6417,2.7393,1.7127,0.8446,3.2104,2.2981,1.5053,0.7481,3.4776,2.6010,1.6966,0.8012,3.3577,2.3885,1.5306,0.7376,3.4712,2.5883,1.7336,0.8932,4.1175,2.7759,1.9103,1.1549
002456.SZ,0,0.7619,4.5463,3.8851,2.3210,1.1310,5.8102,4.1261,2.5500,1.2774,5.5793,3.7177,2.1089,1.0013,4.4275,2.9585,1.8098,0.8332,4.2245,3.1604,1.9518,0.9041,4.4688,3.5833,2.4031,1.1995,7.3718,5.2654,3.4484,1.4813,5.9246,3.9035,2.2037,1.1152,5.0548,3.5234,2.2446,0.9694,4.5038,3.5850,2.8249,1.4213,5.0199,3.9512,2.6699,1.1962
002475.SZ,0,1.4139,6.8310,4.4340,2.9425,1.4859,5.1296,3.4949,2.1439,0.9124,3.9372,2.8015,1.9171,0.9256,3.8685,2.7503,1.8515,0.9307,3.6113,2.3603,1.6476,0.8101,3.9438,2.7153,1.8142,0.8366,3.6973,2.6855,1.7839,0.8329,3.2077,2.3579,1.5512,0.7081,2.8962,2.0639,1.3123,0.6223,3.4661,2.3405,1.3078,0.7205,2.8975,2.3344,1.4729,0
